#TYPE VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"129","7-5-2015 15:24:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666090600000000/"
"77","7-5-2015 15:24:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666090400000000/"
"425","7-5-2015 15:23:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666090200000000/"
"786","7-5-2015 15:23:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666090000000000/"
"672","7-5-2015 15:23:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666089800000000/"
"1046","7-5-2015 15:22:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666089600000000/"
"1264","7-5-2015 15:22:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666089400000000/"
"846","7-5-2015 15:22:00","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666089200000000/"
"1223","7-5-2015 15:21:40","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666089000000000/"
"1234","7-5-2015 15:21:20","disk.write.average","KBps","Average number of kilobytes written to disk each second during the collection interval","OlioWeb0","VirtualMachine-vm-778","20","naa.600508b1001c98c6ebf1781d0b1b6316","/VIServer=vsphere.local\administrator@145.108.224.34:443/VirtualMachine=VirtualMachine-vm-778/LongSample=disk.write.average\naa.600508b1001c98c6ebf1781d0b1b6316\635666088800000000/"
